2026-07-13 18:05:31 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-07-13 18:05:31 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-07-13 18:05:31 | DEBUG    | matplotlib:1560 | interactive is False
2026-07-13 18:05:31 | DEBUG    | matplotlib:1561 | platform is win32
2026-07-13 18:05:31 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): flash-api.jin10.com:443
2026-07-13 18:05:31 | INFO     | kline_scheduler:180 | [泡沫监测] 下次自动分析：2026-07-18 10:00:00（111.9h 后）
2026-07-13 18:05:31 | INFO     | kline_scheduler:243 | [研究卡片价格] 启动补拉: 今日 05:00 定时更新尚未完成（缓存 2026-07-10 05:00:00）
2026-07-13 18:05:31 | INFO     | kline_scheduler:309 | [A股盯市收盘] 启动补拉: 缓存 2026-07-10 15:35:02
2026-07-13 18:05:31 | INFO     | kline_scheduler:321 | [A股盯市收盘] 下次更新(北京时间)：2026-07-14 15:35:00（21.5h 后）
2026-07-13 18:05:31 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): money.finance.sina.com.cn:443
2026-07-13 18:05:31 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.hyperliquid.xyz:443
2026-07-13 18:05:31 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.hyperliquid.xyz:443
2026-07-13 18:05:31 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.hyperliquid.xyz:443
2026-07-13 18:05:32 | DEBUG    | urllib3.connectionpool:475 | https://flash-api.jin10.com:443 "GET /get_flash_list?channel=-8200&vip=1 HTTP/1.1" 200 None
2026-07-13 18:05:32 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): news.10jqka.com.cn:443
